	GroupName	Guide_Num	GC_Content	Length	Space_2nd	crRNA_2nd	Dis_H3K27acP	Dis_ATAC_P	H3K27ac	ATAC	H3K18ac	H3K56ac	H3K9ac	H3K9me3	H3K4me3	H3K4me1_siNC
A-D18-20	group14_A-D18-20	48	0.52	18.81	-6.47	-42.66	5308.69	5848.69	1.13	0.38	1.19	0.93	1.06	0.39	0.22	0.62
E-H18-20	group15_E-H18-20	48	0.5	19.06	-5.96	-42.56	878.06	1057.52	1.95	0.76	3.68	2.19	2.1	0.64	0.24	0.59
H18-20	group5_H18-20	12	0.51	19.17	-5.62	-42.49	1459.08	1399.08	0.93	0.17	1.48	0.98	0.93	1.17	0	0.25
A-D13-17	group13_A-D13-17	48	0.52	15.46	-5.88	-41.27	5680.71	6220.71	0.98	0.37	1.17	0.86	1.08	0.28	0.24	0.66
E18-20	group2_E18-20	12	0.55	19	-6.78	-42.65	1537	2077	1.39	0.37	3.52	1.34	1.52	0.54	0.63	0.81
A18-20	group1_A18-20	12	0.48	19.17	-6.54	-42.08	8170.83	8710.83	0.37	0.29	0.64	1.01	1.02	0.01	0.06	0.9
G-H18-20	group8_G-H18-20	24	0.49	19.12	-6.01	-42.35	894.42	839.42	1.25	0.44	3.1	1.8	1.84	0.95	0.1	0.32
A-B	group11_A-B_13-17	24	0.48	15.17	-5.42	-41.01	7291.92	7831.92	0.56	0.28	1.03	0.98	1.08	0.18	0.13	0.86
E-H18-20	group12_E-H18-20	48	0.5	19	-5.83	-42.88	12676.62	10603.69	0.96	0.34	1.06	0.98	1.05	0.59	0.08	0.83
A-H13-17	group17_A-H13-17	96	0.52	15.51	-5.56	-41.28	3363.89	3734.67	1.36	0.52	2.21	1.5	1.53	0.53	0.25	0.6
A-H18-20	group18_A-H18-20	96	0.52	19.01	-5.98	-42.84	15295.24	8345.91	0.87	0.36	1.19	1	1.09	0.62	0.2	0.82
F18-20	group3_F18-20	12	0.48	19	-5.03	-42.92	186.42	474.25	3.92	1.81	5	3.83	3.21	0.12	0.12	0.9
G18-20	group4_G18-20	12	0.47	19.08	-6.41	-42.2	329.75	279.75	1.56	0.71	4.73	2.62	2.75	0.73	0.2	0.39
G-H13-17	group7_G-H13-17	24	0.52	15.33	-5.46	-41.09	721.29	671.08	1.38	0.57	3.43	2.22	2.11	1.01	0.15	0.42
E-F18-20	group9_E-F18-20	24	0.51	19	-5.91	-42.78	861.71	1275.62	2.65	1.09	4.26	2.59	2.36	0.33	0.38	0.85
G13-17	group6_G13-17	12	0.54	14.75	-6.41	-41.55	262.33	221.92	1.65	0.94	5.14	3.59	3.14	0.67	0.3	0.58
E-F	group10_E-F13-17	24	0.5	15.79	-5.01	-41.49	1372.83	1826.17	2.1	0.76	3.06	2.07	1.85	0.55	0.39	0.65
A-H18-20	group16_A-H18-20	96	0.51	18.94	-6.22	-42.61	3093.38	3453.1	1.54	0.57	2.43	1.56	1.58	0.52	0.23	0.6
192	group19_192	192	0.51	18.97	-6.1	-42.72	9194.31	5899.51	1.21	0.47	1.81	1.28	1.34	0.57	0.22	0.71
