Group_Name	H3K27ac	ATAC	SNR	SBN	detection_SNR_greater_than_4	detection_SNR_greater_than_5	Detection_Ratios_SBN_greater_than_5	Notes
group1_A18-20	0.3663825	0.290948667	2.586392765	3.53845921	19.60784314	11.76470588	21.15384615	5-1-23/well1
group2_E18-20	1.387884217	0.367236417	2.531668443	3.827399102	22.64150943	11.32075472	24.52830189	8-16-23/well5
group3_F18-20	3.9172295	1.80807525	3.498439921	5.472612458	30.95238095	19.04761905	31.14754098	8-16-23/well6
group4_G18-20	1.562736667	0.709352833	2.963068114	4.936175206	20.93023256	6.976744186	30.23255814	8-16-23/well7
group5_H18-20	0.9306915	0.169212833	2.785732239	4.682466654	25	13.63636364	33.33333333	8-16-23/well8
group6_G13-17	1.649636167	0.942043833	2.856703298	6.3805806	23.25581395	18.60465116	38	8-16-23/well3
group7_G-H13-17	1.379296292	0.572349125	4.197142915	7.988977707	44.06779661	30.50847458	59.3220339	6-13-23/e_great
group8_G-H18-20	1.246714083	0.439282833	4.247825378	9.045687898	50	25	56.66666667	6-28-23/well5
group9_E-F18-20	2.652556858	1.087655833	9.170359005	9.512621402	92.06349206	76.19047619	91.95402299	8-9-23/well3
group10_E-F13-17	2.10299545	0.762306292	6.707967846	8.223220551	74.48979592	65.30612245	65.55556	8-9-23/well1
group11_A-B_13-17	0.557958417	0.2812935	2.932162964	3.732904448	32.35294118	23.52941176	35.29411765	6-28-23/well1
group12_E-H18-20	0.962541421	0.335677688	2.665251231	4.403296879	21.95121951	12.19512195	13.95348837	5-23-23/wellA
group13_A-D13-17	0.977744667	0.368536	3.5582552	5.800944683	28.33333333	21.66666667	34.92063492	6-28-23/well2
group14_A-D18-20	1.133863438	0.380133021	3.640337161	4.369844297	41.42857143	17.14285714	36.50793651	5-1-23/well2
group15_E-H18-20	1.949635471	0.763469333	6.505982899	9.929016082	62.3655914	49.46236559	66.35514019	6-13-23/f_great
group16_A-H18-20	1.819800392	0.647856521	6.805133358	10.99056433	80.86956522	56.52173913	81.73913043	7-5-23-well3-confocal/5-1-23-well3-Leica
group17_A-H13-17	1.604325258	0.591931795	6.864198242	9.119977251	63.82978723	55.31914894	54.90196078	6-28-23/well4
group18_A-H18-20	0.869758585	0.361360938	3.089587319	6.761992956	16	12	22.22222222	5-23-23/wellB
group19_192	1.20575402	0.466581057	6.198179633	11.0927688	55.55555556	46.66666667	55.31914894	5-23-23/wellC
